input_str,l🛐bel
🚔🙯🙍🛗🙼🛐😣228172481🙵🙼5705🙯😣,1
🚔🙍108041065😣🛗🙯🙼🛐2996🙼🙯🙵😣,1
🚔😣🙼🛗🙍🛐150720690🙯🙵😣1795🙼🙯,1
🚔🛐🙼🛗🙍😣215420690🙯🙯5774🙼🙵😣,1
🚔🛗🙼🛐😣🙍18721🙯29966659🙵😣🙯🙼,1
🚔14748🛗🙼3134🙍🛐😣🙯4790😣🙵🙯🙼,1
🚔😣🛐🙼🛗🙍127031505🙯2598🙵🙯🙼😣,1
🚔2075🙼🛐🙍10070🛗🙯😣2231🙵😣🙼🙯,1
🚔0🙍🙼🙯1923🛐3134🛗😣4524😣🙯🙵🙼,1
🚔🙯4310🛐🙍😣18708🛗🙼😣🙵🙼2816🙯,1
🚔0🙯😣🙼🛗🛐2996🙍7794😣3104🙯🙼🙵,1
🚔🙼🛗🙍3682🛐12506😣🙯🙵🙯🙼😣4051,1
🚔🛐2791🙼🙯🙍😣14669🛗🙼🙵😣4521🙯,1
🚔04381🛗😣2481🛐🙯🙼🙍🙯3365🙼🙵😣,1
🚔0🛐😣1270🙍1235🙼🛗🙯🙼2154🙵😣🙯,1
🚔🙼28251🛐🙯🙍😣3023🛗🙵3901🙼🙯😣,1
🚔0🛗🙼0🛐🙍🙼1433😣🙯1795🙼🙵😣🙯,1
🚔🛐🙍🙼😣🛗2999🙯11796🙵🙼🙯2075😣,1
🚔🙼🙍🛐🙯187213070😣🛗🙯😣🙵🙼3023,1
🚔07184🛗😣🙍🛐2598🙼🙯😣🙯🙼🙵4304,1
🚔0😣🙯🛐🛗🙼1157🙍3645🙯🙼😣🙵5774,1
🚔0🛗😣🛐🙍🙯🙼805533884790🙯🙼🙵😣,1
🚔🛐🙯🛗2075🙍🙼😣11047🙼🙵😣🙯5237,1
🚔🛐🙍🛗🙼2481😣🙯20371😣🙵🙯🙼4790,1
🚔🙍135803901😣🛗🙼🙯🛐🙯4524🙼🙵😣,1
🚔0🛐🙯😣4856🙍🛗1959🙼🙼🙵🙯3104😣,1
🚔🛗235942919🛐🙍🙯🙼😣🙼🙯🙵😣5332,1
🚔🛗😣🛐16117🙍2682🙼🙯🙼2670😣🙯🙵,1
🚔0486🙼🙯😣🙍🛗🛐16117🙼🙵2999🙯😣,1
🚔06482🙍🛐2998🙼🙯😣🛗🙵🙼😣🙯1433,1
🚔0🛗🙼🛐🙍😣36824473🙯🙯😣🙼🙵4349,1
🚔0😣🛗🙼0🛐🙍🙯1828🙼😣🙵🙼🙯5999,1
🚔🙯🛗1065🙼11918😣🛐🙍🙯😣🙵5066🙼,1
🚔0🛐2713🙍😣2776🛗🙯🙼🙯🙵3510😣🙼,1
🚔03553🙼🛐8178😣🙯🛗🙍3695🙯😣🙵🙼,1
🚔🙯🙼🛗🙍306993510😣🛐🙵😣🙼🙯3365,1
🚔🙯195918195🛗😣🙍🙼🛐🙯🙵😣🙼3553,1
🚔34141🙯🙼😣🛗🙍🛐5237🙼🙵🙯5774😣,1
🚔0🛗🙼🛐😣🙯112042🙼24🙯🙼🙵😣3720,1
🚔02800🙯4349🛗🙼😣🙍🛐🙵3720😣🙼🙯,1
🚔0🛗🙍11796🙼940🙯🛐😣2414🙵😣🙼🙯,1
🚔🛗🙼😣🙯1120🛐🙍30699🙵😣5066🙼🙯,1
🚔0😣🛗🙍🙼🙯🛐182880553559😣🙯🙼🙵,1
🚔🛗🙯20371🙼😣3901🙍🛐😣🙼🙯4304🙵,1
🚔😣🙼3🙼🛐🛗18103🙍🙯5237🙼😣🙵🙯,1
🚔🛐😣🙯🛗147382713🙍🙼😣1828🙯🙵🙼,1
🚔03324🙼1502🛗🛐🙯🙍😣🙯🙼🙵😣4521,1
🚔🙍🙼🛐😣4309🛗🙯20371🙼🙯2425🙵😣,1
🚔🙼😣🛗🙍3553🙯🛐13239🙯2425🙼🙵😣,1
🚔10070🛗🙍2920🙼😣🛐🙯1120🙵🙯😣🙼,1
🚔13580🙍🙯🛐🛗😣🙼2998🙼🙯🙵😣2481,1
🚔18721🛐3980🛗🙍🙼😣🙯🙯🙵🙼5237😣,1
🚔🛗😣30968🙍🙯🙼1558🛐🙯😣🙼2682🙵,1
🚔😣🛗132391558🙼🛐🙯🙍🙼🙵🙯4521😣,1
🚔0150736🙼62🙯🙍😣🛐🛗😣1120🙼🙯🙵,1
🚔🙯😣🛐3104🙍🙼12921🛗🙵🙼🙯😣4790,1
🚔0🛐🛗🙯🙼2780😣7794🙍🙵🙯🙼4304😣,1
🚔09025🛐🙍😣2670🙯🛗🙼🙼😣4869🙯🙵,1
🚔🙍😣🛗302336068🛐🙯🙼🙼1065🙯🙵😣,1
🚔0😣2996🛐🙼🛗4485🙍🙯🙯🙼3720😣🙵,1
🚔067613510🙍🙼🙯🛐🛗😣🙵🙯😣2414🙼,1
🚔🙯🙍3070😣🛗🙼18195🛐🙼😣🙯🙵2780,1
🚔19122🙍🙯🛗🛐🙼1959😣🙵😣🙯🙼4304,1
🚔🙍🙼19207🙯🛗2598🛐😣🙯🙼28🛗69😣,1
🚔0🛐🛗1368🙯🙍😣3510🙼🙵😣🙼4051🙯,1
🚔3901🛗🙼18195🙯🛐🙍😣5333🙯😣🙵🙼,1
🚔🙼🛗🙯😣2481🛐46283🙍🙯😣1899🙼🙵,1
🚔02775🛗🙍🙼1129🛐🙯😣🙯😣🙵2414🙼,1
🚔0🛐1368🙼🙍🙯1495🛗😣😣🙼🙵4790🙯,1
🚔🛗🙯126601983🛐😣🙼🙍🙯2078🙼🙵😣,1
🚔0🙯🙼🛐🙍🛗4905😣2414🙯😣5774🙼🙵,1
🚔🛗🙯3682🙼14748😣🙍🛐😣🙯2425🙼🙵,1
🚔0😣2998🙍🙼🛐🛗3626🙯🙵🙼6469🙯😣,1
🚔02670🙼2478🛐🛗🙯🙍😣🙼🙯1899🙵😣,1
🚔0🛗1157🛐😣🙍🙯🙼1245🙵🙯🙼1954😣,1
🚔🙯🛗🙼11918🙍1065🛐😣😣4761🙯🙼🙵,1
🚔🙼🛐28118🙯4869😣🙍🛗3695🙼😣🙵🙯,1
🚔2548😣🙼🙯37758🛐🙍🛗5066🙵😣🙼🙯,1
🚔0😣🛐🛗🙍🙯🙼12353023🙯🙵🙼3😣🙼,1
🚔0🙼🙍😣🛐🛗🙼4🙯7002😣2598🙼🙵🙯,1
🚔🛗12506🙯😣🙼🛐🙍2998🙵🙼🙯😣2791,1
🚔0🛗🙯🙼😣2776🛐🙍2548🙯1120😣🙵🙼,1
🚔1270🙼🙍🛐13239🛗😣🙯🙼🙯🙵3132😣,1
🚔0🙼🙍🙯2816🛐🛗5254😣2791😣🙼🙵🙯,1
🚔🛐🙼🙍355912921🛗😣🙯😣🙯🙼4309🙵,1
🚔🛗🙍🛐🙼3070🙯😣27224😣2091🙯🙵🙼,1
🚔😣3901🙍🙯19661🙼🛗🛐🙼🙯😣🙵2154,1
🚔0🛐🙍2998🛗🙯😣85🙼624349🙯🙵😣🙼,1
🚔😣🙼🛗106812075🙍🛐🙯🙼5066🙯😣🙵,1
🚔278014738😣🙯🛐🙍🛗🙼🙼🙯😣2414🙵,1
🚔0🛗😣🙼20911235🙯🙍🛐🙵🙯🙼4309😣,1
🚔0🙍🙼🛐🛗🙯71183980😣😣4790🙵🙯🙼,1
🚔🙼1495🛐22966🛗😣🙍🙯🙼🙵2548😣🙯,1
🚔04427🙯🙼😣🛗2931🛐🙍1065😣🙼🙵🙯,1
🚔😣24288🛐🙍1120🛗🙯🙼2791🙯🙼😣🙵,1
🚔0🙼4524🛐🛗1332🙍😣🙯🙵4521😣🙼🙯,1
🚔🛐232728118🛗😣🙯🙍🙼2920🙵🙯😣🙼,1
🚔0🙼🙍🛗🙼0🙯🛐😣2078🙵4304🙯🙼😣,1
🚔🙍😣🛗🛐🙯147383312🙼😣3559🙵🙯🙼,1
🚔0🙍🛗🛐😣1433🙼3626🙯😣🙯🙵2548🙼,1
🚔🛗23684🙍🛐1129🙯😣🙼🙵🙯2231🙼😣,1
🚔2091🛗🙼🙯😣🛐34141🙍🙯🙼3365😣🙵,1
🚔🙯🙍🛗😣🙼112049400🛐🙯😣5333🙼🙵,1
🚔😣🙯🙼🛗28251🛐🙍2999🙯😣🙼🙵5999,1
🚔🙍🙯2481😣14748🛐🙼🛗1120🙯😣🙼🙵,1
🚔😣🙯🙍🛐19661🛗1270🙼🙯5999🙵😣🙼,1
🚔0🙯1433🛗5103🙍🙼🛐😣🙯28🛗69🙼😣,1
🚔🙼🙍😣🛗15611🙯🛐2998🙯5333😣🙼🙵,1
🚔😣🛐3980🙯🙼🙍10086🛗🙼🙯🙵😣3324,1
🚔0🙼🙯🙍3645😣🛗🛐2078🙯4761🙼😣🙵,1
🚔0😣🛐🙯9102🙼🙍1129🛗2670🙯😣🙵🙼,1
🚔🙯🛐14748😣1157🛗🙼🙍2791🙼🙯😣🙵,1
🚔01507🙼🛐5254🙍😣🙯🛗3270🙼😣🙯🙵,1
🚔00🛐1415670🙼🙍🙯😣🛗🙼🙯🙵😣1120,1
🚔0🛗🙍🙯7794😣🙼🛐35103104🙵🙯🙼😣,1
🚔😣🙯🛐2670🙍🛗🙼106815237🙵🙯😣🙼,1
🚔🙍🛐😣570524671🙼🙯🛗4521😣🙯🙵🙼,1
🚔🛗3134😣19122🙼🛐🙍🙯🙵🙯🙼3324😣,1
🚔002682🙍😣🛐🙯670🛗🙼😣🙵5066🙼🙯,1
🚔3132🛐🙼🙯🙍😣13239🛗😣🙵3682🙼🙯,1
🚔22966🙯🛗🙼🛐😣🙍3070🙵🙯😣🙼3980,1
🚔🙼😣🙍1415🙯21832🛗🛐🙵🙼🙯😣1314,1
🚔🙼🙯😣11113🙍🛐3132🛗🙵😣1120🙼🙯,1
🚔0🛐1129🙯3626🛗🙼😣🙍🙼1238🙯😣🙵,1
🚔05066🛐🙯😣🙍5296🛗🙼🙵🙯🙼😣3388,1
🚔0😣🙼🛐🛗🙯🙍462839401065🙯🙼😣🙵,1
🚔🙼28118🛗🙯😣3023🙍🛐2931🙵😣🙼🙯,1
🚔0🛗🙍🙯😣🙼🛐291913391899🙼🙵😣🙯,1
🚔🙍😣🛗2999🙯13956🙼🛐😣🙯1433🙼🙵,1
🚔0🙯🛐2713🙍😣2776🛗🙼🙼🙯4051😣🙵,1
🚔01433🙯🛗🛐😣🙍🙼3349🙼🙼3😣🙯🙵,1
🚔🛗🙍🙯🙼12506😣4051🛐🙼😣3553🙵🙯,1
🚔0🛗3132🙯😣4427🛐🙼🙍🙼😣🙯🙵3559,1
🚔0🛐🛗🙼2091🙍😣🙯1923🙯😣🙵4349🙼,1
🚔01558🙯🙼1368🛐🙍😣🛗2670🙵🙼🙯😣,1
🚔🙯🛗🙍15611🛐2078🙼😣😣🙵🙼1821🙯,1
🚔0🛗🛐🙼2928🙯1828🙍😣🙯🙼🙵4761😣,1
🚔0🙍😣🛗🙯🛐85263070🙼🙵🙼😣🙯5333,1
🚔0🛐🙼940😣🙯17645🙍🛗🙼1415🙵🙯😣,1
🚔33658🙍🛐🙯1157🛗🙼😣🙵🙯🙼1795😣,1
🚔01157🛐7794😣🙼🛗🙍🙯😣🙯🙵3553🙼,1
🚔🙍🛗2713🙯🛐🙼11113😣1495🙼🙵🙯😣,1
🚔31505😣2998🛗🛐🙯🙍🙼🙵🙯😣3559🙼,1
🚔🙼🛐143322817🙯🛗😣🙍🙵🙯🙼😣3695,1
🚔😣🙼4🙼🙍🛗🙯28251🛐🙵2996😣🙼🙯,1
🚔🛐🛗🙍5333🙯🙼😣45436🙵🙼3388🙯😣,1
🚔😣🛐1129🛗🙍🙯🙼19661🙯🙼😣2920🙵,1
🚔0🛗😣🛐🙯13681983🙍🙼🙵🙼2857🙯😣,1
🚔🛗🙯1415🛐😣🙼🙍165105333🙼🙵😣🙯,1
🚔🛐🛗😣🙍173114669🙯🙼😣🙵🙼3134🙯,1
🚔37758🙼3070🙯😣🛐🛗🙍🙵😣🙯2548🙼,1
🚔03682🙼😣2928🙯🛗🛐🙍3980🙵😣🙼🙯,1
🚔14738🛐🙯🛗1270😣🙼🙍🙵2682🙼🙯😣,1
🚔03132🙯🙍😣🛐🙼🛗8055🙯🙵😣6659🙼,1
🚔🙼🛗🙯🛐😣🙍143315775😣5332🙵🙯🙼,1
🚔🛗🛐1270😣19122🙯🙼🙍🙼😣🙯🙵4349,1
🚔0😣🙼1410🙍🙼4🛗🛐🙯🙼🙯1120🙵😣,1
🚔100862548🙼🛐🙯🛗😣🙍🙯2816🙵🙼😣,1
🚔46283🛐3134😣🙍🙯🙼🛗🙵🙼😣5999🙯,1
🚔02999🙍😣4371🛐🙼🙯🛗🙼5066🙯🙵😣,1
🚔00🛐6224😣🙼🙯🙍486🛗🙼😣🙵2857🙯,1
🚔🙼🛗27224😣1485🙯🙍🛐🙼1795🙵🙯😣,1
🚔28251🛗1270🙼🛐🙍😣🙯4051🙵😣🙯🙼,1
🚔0🙯🙍🙼🛗1129😣🛐98314349🙼🙵🙯😣,1
🚔0🙍😣2682🛗🙼🙯🛐2928🙵🙼5999🙯😣,1
🚔0🛗4304🛐🙯😣🙍🙼5449🙯🙵🙼5774😣,1
🚔01415🛐🙯😣🙼🙍🛗8967😣🙼🙵2670🙯,1
🚔🛐🙍🙯😣🙼🛗155813580🙵4790🙯😣🙼,1
🚔33658🙍🙼🛗1120🛐🙯😣🙼3134🙵🙯😣,1
🚔🙯33658🛗🙼🙍🛐😣1129🙼🙯3553😣🙵,1
🚔0🙍🙼🛗😣85263132🙯🛐🙼😣🙵🙯1899,1
🚔24288🛐😣1959🙍🙼🙯🛗🙯😣2816🙼🙵,1
🚔01485😣🙍🙯🙼🛗🛐29282327🙯😣🙼🙵,1
🚔108043270🙼🙍🙯🛗😣🛐😣🙯🙼3720🙵,1
🚔0🛐🙼🙍🛗🙯2078😣1368🙯2920🙼😣🙵,1
🚔🙯🙼33658😣1415🛐🙍🛗🙼😣🙯🙵🙼4,1
🚔00🙍1923🙼🛐940🛗😣🙯😣🙵🙯4051🙼,1
🚔🙯🙼2713🛗😣🙍11113🛐😣🙯🙼🙵5332,1
🚔🛗🙼😣16510🙯🙍🛐4761🙯🙼🙵4521😣,1
🚔🙯🙼198336068🛐🛗😣🙍🙼2718😣🙯🙵,1
🚔1415🙍🛐😣🛗35121🙼🙯😣🙵5237🙼🙯,1
🚔0🙍🙯🙼6761🛐2919😣🛗🙯1821🙵🙼😣,1
🚔01120🛐🙍😣🙼🙯3357🛗😣🙼3270🙯🙵,1
🚔04381😣🙯2931🙼🛗🛐🙍🙵🙯2682😣🙼,1
🚔0🙼3😣🙼🛗🛐🙍1430🙯🙯🙼😣🙵1821,1
🚔🛗😣🙍🙯🙼258001507🛐🙯😣🙵🙼4304,1
🚔0🛗🙍85🙼62🛐😣1954🙯5705🙵😣🙼🙯,1
🚔1065🛗🛐16117🙍😣🙼🙯😣🙯🙼3365🙵,1
🚔🙯2718🛐🙍🛗37758😣🙼🙯1821🙼🙵😣,1
🚔0🙍🙯🛗3896🙼🛐😣1129🙯1983😣🙼🙵,1
🚔03324🙍🙼1339🛗🙯😣🛐6469🙼🙯😣🙵,1
🚔0🙍9831🛗😣🙯2548🛐🙼🙯🙵🙼2857😣,1
🚔🙯🙍1983😣🛗🛐12921🙼🙼🙯😣🙵3510,1
🚔0🛐🙯🛗2928🙍🙼😣3023🙵🙼😣🙯1433,1
🚔🙍🛐30699🙼🙯🛗😣29313104🙯😣🙵🙼,1
🚔0🙼🙍🛗😣🛐3132🙯13682425🙼😣🙯🙵,1
🚔😣🙯246712998🛗🙼🙍🛐1495🙯🙵😣🙼,1
🚔0🙍4310🙼🛗😣🙯2478🛐🙵2154😣🙯🙼,1
🚔0🙼🙍2713🛗🛐😣🙯4845🙵😣2682🙼🙯,1
🚔0🙍🙼🛗🛐13391065🙯😣😣3132🙵🙯🙼,1
🚔🛗😣2075🛐🙼🙯14669🙍🙼1959🙯😣🙵,1
🚔2718🙯🙼🛗😣23594🛐🙍😣2857🙯🙼🙵,1
🚔00🙼1430🙍🛐🙯940😣🛗🙯2154😣🙵🙼,1
🚔102563132🙼🛗🙯😣🛐🙍🙵😣3980🙯🙼,1
🚔064823070🛗🙯😣🛐🙍🙼3720🙯😣🙵🙼,1
🚔0😣🙯🙼🛐1954🙍5103🛗🙵🙯2598😣🙼,1
🚔11796🛗🛐2999🙍🙯🙼😣😣🙯🙼2791🙵,1
🚔😣🙍🛗🙼🙯1238🛐11918🙯🙼😣🙵2075,1
🚔3023🛗🙍🙼36068🙯🛐😣5066🙼🙯😣🙵,1
🚔008178486🙍😣🙯🛐🛗🙼🙼🙵1828🙯😣,1
🚔🛐🙼161171954😣🙍🙯🛗🙯🙵🙼4761😣,1
🚔1415🙼🛐🛗🙯16352🙍😣🙯🙵🙼3901😣,1
🚔😣🙼🛗2425🙍🛐🙯156115705🙯😣🙼🙵,1
🚔🙯🙼🛗🙍😣2931🛐49400🙼3🙼🙯🙵😣,1
🚔🙼23594🙍🛗😣🙯🛐53333695🙵🙯😣🙼,1
🚔0🙯🛐🙍1558😣🛗🙼7002😣🙯🙵5237🙼,1
🚔0🙍🙯27761828🛐🛗😣🙼🙯😣4310🙼🙵,1
🚔0🙼🙯😣🛐🙍4304🛗5103🙵5705🙯😣🙼,1
🚔🛗😣1157🙍🛐🙯🙼30968🙯😣🙵🙼4310,1
🚔🙼😣🙍🙯🛐🛗292027224🙯😣5999🙵🙼,1
🚔01339🛐🙼🙯🛗😣🙍1795🙵6659🙼🙯😣,1
🚔😣15611🛗🛐🙼🙍1983🙯😣🙵5999🙼🙯,1
🚔0🛗🛐85🙼62🙯🙍2682😣4524😣🙼🙵🙯,1
